layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
Quant_IP-7-37,Quant_IP-7-38,Quant_IP-7-37,768,768,590594,590594,0
Quant_IP-7-38,Quant_IP-7-39,Quant_IP-7-38,768,768,590594,590594,0
Quant_IP-7-39,Quant_MatMul-7-40,Quant_IP-7-39,768,768,590594,590594,0
Quant_MatMul-7-40,Quant_MatMul-7-41,Quant_MatMul-7-40,768,768,2,589824,0
Quant_MatMul-7-41,Quant_IP-7-43,Quant_MatMul-7-41,768,768,2,589824,0
Quant_IP-7-43,LayerNorm-7-44,Quant_IP-7-43,768,768,590594,590594,0
LayerNorm-7-44,Quant_IP-6-31,LayerNorm-7-44,768,768,1536,1536,0
Quant_IP-6-31,GELUActivation-6-32,Quant_IP-6-31,3072,768,2362370,2362370,0
GELUActivation-6-32,Quant_IP-6-33,GELUActivation-6-32,3072,3072,0,3072,0
Quant_IP-6-33,LayerNorm-6-34,Quant_IP-6-33,768,3072,2360066,2360066,0
