layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
Conv2d-3-32,BatchNorm2d-3-33,Conv2d-3-32,401408,100352,147456,115605504,1
BatchNorm2d-3-33,ReLU-3-34,BatchNorm2d-3-33,100352,100352,256,256,1
ReLU-3-34,Conv2d-3-35,ReLU-3-34,100352,100352,0,0,1
Conv2d-3-35,BatchNorm2d-3-36,Conv2d-3-35,100352,401408,65536,51380224,1
BatchNorm2d-3-36,Conv2d-4-3,BatchNorm2d-3-36,401408,401408,1024,1024,1
Conv2d-4-3,BatchNorm2d-4-4,Conv2d-4-3,802816,401408,131072,102760448,1
BatchNorm2d-4-4,ReLU-3-38,BatchNorm2d-4-4,401408,401408,1024,1024,1
ReLU-3-38,Conv2d-3-39,ReLU-3-38,401408,401408,0,0,1
Conv2d-3-39,BatchNorm2d-3-40,Conv2d-3-39,401408,100352,65536,51380224,1
BatchNorm2d-3-40,ReLU-3-41,BatchNorm2d-3-40,100352,100352,256,256,1
ReLU-3-41,Conv2d-3-42,ReLU-3-41,100352,100352,0,0,1
